Название;Компания;Сегмент;Код;Широта;Долгота;Топливо;Категория;Цена;Дата
Пункт автоналива ЯНОС;SPIMEX;spimex;PT_57_5543_39_8112;57.5543;39.8112;"ДТ ЕВРО сорт E (ДТ-Е-К5) минус 15, Пункт автоналива
(ЯНОС) (самовывоз автотранспортом)";Бензин;61533.0;05.03
Пункт автоналива ЯНОС;SPIMEX;spimex;PT_57_5543_39_8112;57.5543;39.8112;"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, Пункт
автоналива (ЯНОС) (самовывоз автотранспортом)";Бензин;67500.0;05.03
Пункт автоналива ЯНОС;SPIMEX;spimex;PT_57_5543_39_8112;57.5543;39.8112;"Бензин (АИ-95-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, Пункт
автоналива (ЯНОС) (самовывоз автотранспортом)";Бензин;70500.0;05.03
Пункт автоналива ЯНОС;SPIMEX;spimex;PT_57_5543_39_8112;57.5543;39.8112;"ДТ (ДТ-З-К5) минус 32, Пункт автоналива (ЯНОС) (самовывоз
автотранспортом)";ДтЗ;70650.0;05.03
БП Ростов-на-Дону;SPIMEX;spimex;PT_47_0978_39_4263;47.0978;39.4263;"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023,
Ростов-на-Дону БП (самовывоз автотранспортом)";Бензин;70100.0;05.03
НБ Серпуховская;SPIMEX;spimex;PT_54_9256_37_4359;54.9256;37.4359;"ДТ ЕВРО сорт E (ДТ-Е-К5) минус 15, НБ Серпуховская
(самовывоз автотранспортом)";Бензин;64000.0;05.03
НБ Серпуховская;SPIMEX;spimex;PT_54_9256_37_4359;54.9256;37.4359;"ДТ ЕВРО сорт F (ДТ-Е-К5) минус 20, НБ Серпуховская
(самовывоз автотранспортом)";Бензин;65000.0;05.03
НБ Серпуховская;SPIMEX;spimex;PT_54_9256_37_4359;54.9256;37.4359;"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Серпуховская (самовывоз автотранспортом)";Бензин;68000.0;05.03
НБ Серпуховская;SPIMEX;spimex;PT_54_9256_37_4359;54.9256;37.4359;"Бензин (АИ-95-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Серпуховская (самовывоз автотранспортом)";Бензин;69000.0;05.03
БП Краснодар;SPIMEX;spimex;PT_45_8548_40_1257;45.8548;40.1257;"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023,
Краснодар БП (самовывоз автотранспортом)";Бензин;70000.0;05.03
НБ Ртищевская;SPIMEX;spimex;PT_52_2404_43_7752;52.2404;43.7752;"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023,
Ртищевская НБ (самовывоз автотранспортом)";Бензин;67000.0;05.03
НБ Увекская;SPIMEX;spimex;PT_51_4243_45_9606;51.4243;45.9606;"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023,
Увекская НБ (самовывоз автотранспортом)";Бензин;67000.0;05.03
НБ Увекская;SPIMEX;spimex;PT_51_4243_45_9606;51.4243;45.9606;"Бензин (АИ-95-К5) ГОСТ 32513-2013/ГОСТ 32513-2023,
Увекская НБ (самовывоз автотранспортом)";Бензин;69000.0;05.03
НБ Связь-Петролеум;SPIMEX;spimex;PT_55_8377_48_5414;55.8377;48.5414;"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Связь-Петролеум (самовывоз автотранспортом)";Бензин;66000.0;05.03
НБ Связь-Петролеум;SPIMEX;spimex;PT_55_8377_48_5414;55.8377;48.5414;"Бензин (АИ-95-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Связь-Петролеум (самовывоз автотранспортом)";Бензин;68000.0;05.03
Стрежевской НПЗ;SPIMEX;spimex;PT_60_7381_77_5446;60.7381;77.5446;"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023,
Стрежевской НПЗ (самовывоз автотранспортом)";Бензин;57526.0;05.03
НБ Уфимская;SPIMEX;spimex;PT_54_8619_56_1135;54.8619;56.1135;"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023,
Уфимская НБ (самовывоз автотранспортом)";Бензин;63800.0;05.03
НБ Уфимская;SPIMEX;spimex;PT_54_8619_56_1135;54.8619;56.1135;"Бензин (АИ-95-К5) ГОСТ 32513-2013/ГОСТ 32513-2023,
Уфимская НБ (самовывоз автотранспортом)";Бензин;67500.0;05.03
НБ Уфимская;SPIMEX;spimex;PT_54_8619_56_1135;54.8619;56.1135;"ДТ ЕВРО класс 2 (ДТ-З-К5) минус 32, Уфимская НБ
(самовывоз автотранспортом)";Бензин;71563.0;05.03
ТПП Урайнефтегаз;SPIMEX;spimex;PT_60_1269_64_7697;60.1269;64.7697;"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, ТПП
Урайнефтегаз (самовывоз автотранспортом)";Бензин;72640.0;05.03
БП Сургут-25;SPIMEX;spimex;PT_61_2836_73_2067;61.2836;73.2067;"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023,
Сургут-25 БП (самовывоз автотранспортом)";Бензин;60500.0;05.03
БП Сургут-25;SPIMEX;spimex;PT_61_2836_73_2067;61.2836;73.2067;"Бензин (АИ-95-К5), ГОСТ 32513-2013/ГОСТ 32513-2023,
Сургут-25 БП (самовывоз автотранспортом)";Бензин;65000.0;05.03
БП Сургут-25;SPIMEX;spimex;PT_61_2836_73_2067;61.2836;73.2067;"ДТ вид 4 (ДТ-А-К5) минус 44, Сургут-25 БП (самовывоз
автотранспортом)";ДтА;74500.0;05.03
БП Воронеж-Липецк / НБ Косыревская;SPIMEX;spimex;PT_52_6062_39_394;52.6062;39.394;"ДТ ЕВРО сорт C (ДТ-Л-К5) минус 5, НБ Косыревская
(самовывоз автотранспортом)";Бензин;61514.0;05.03
БП Воронеж-Липецк / НБ Косыревская;SPIMEX;spimex;PT_52_6062_39_394;52.6062;39.394;"ДТ ЕВРО класс 1 (ДТ-З-К5) минус 26, НБ Косыревская
(самовывоз автотранспортом)";Бензин;62222.0;05.03
БП Воронеж-Липецк / НБ Косыревская;SPIMEX;spimex;PT_52_6062_39_394;52.6062;39.394;"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023,
Воронеж-Липецк БП (самовывоз автотранспортом)";Бензин;67500.0;05.03
НБ Абаканская;SPIMEX;spimex;PT_53_7072_91_439;53.7072;91.439;"Бензин (АИ-95-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Абаканская (самовывоз автотранспортом)";Бензин;73500.0;05.03
НБ Абаканская;SPIMEX;spimex;PT_53_7072_91_439;53.7072;91.439;"ДТ ЕВРО класс 2 (ДТ-З-К5) минус 32, НБ Абаканская
(самовывоз автотранспортом)";Бензин;78500.0;05.03
НБ Балашовская;SPIMEX;spimex;PT_51_5283_43_1357;51.5283;43.1357;"Бензин (АИ-95-К5) ГОСТ 32513-2013/ГОСТ 32513-2023,
Балашовская НБ (самовывоз автотранспортом)";Бензин;68900.0;05.03
Елховский НПЗ;SPIMEX;spimex;PT_54_8894_51_9841;54.8894;51.9841;"ДТ ЕВРО класс 1 (ДТ-З-К5) минус 26 (ГОСТ Р 52368-2005
(ЕН590:2009)), Елховский НПЗ (самовывоз автотранспортом)";Бензин;65000.0;05.03
Елховский НПЗ;SPIMEX;spimex;PT_54_8894_51_9841;54.8894;51.9841;"Бензин (АИ-95-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023),
Елховский НПЗ (самовывоз автотранспортом)";Бензин;65200.0;05.03
КИНЕФ;SPIMEX;spimex;PT_59_4786_32_0475;59.4786;32.0475;"Бензин Регуляр-92 (АИ-92-К5), КИНЕФ (самовывоз
автотранспортом)";Бензин;70455.0;05.03
КИНЕФ;SPIMEX;spimex;PT_59_4786_32_0475;59.4786;32.0475;"Бензин (АИ-95-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023),
КИНЕФ (самовывоз автотранспортом)";Бензин;72956.0;05.03
