code,lat,lon,name,"Наименование
товара",,,,,,,
A692KSC005A,"52,6062328","39,3939727",НБ Косыревская,бензин (АИ-92-К5),,,,,,,
A692KTF005A,"61,2803892","46,6709731",НБ Котласская,бензин (АИ-92-К5),,,,,,,
A692KYI005A,"67,622147","33,6799757",НБ Кировская,бензин (АИ-92-К5),,,,,,,
A692KYZ005A,"53,1215079","50,0555803",НБ Кряжская,бензин (АИ-92-К5),,,,,,,
A692KZK005A,"54,5420704","36,3212937",Калужский производственный цех,бензин (АИ-92-К5),,,,,,,
A692LHI005A,"48,1456763","40,1632839",НБ Лиховская,бензин (АИ-92-К5),,,,,,,
A692LIR005A,"54,5795687","39,7210472",НБ Лидер,бензин (АИ-92-К5),,,,,,,
A692LOI010A,"56,9299048","60,783557",НБ Лосиная,бензин (АИ-92-К5),,,,,,,
A692LSS005A,"51,0098965","39,4196302",Лискинский цех,бензин (АИ-92-К5),,,,,,,
A692LTN025A,"51,6553903","38,8973606",НБ Латная,бензин (АИ-92-К5),,,,,,,
A692LUD005A,"53,8567855","34,4549114",НБ Людиновская,бензин (АИ-92-К5),,,,,,,
A692LUN005A,"54,6864147","20,1578485",Комплексный нефтяной терминал (г. Светлый),бензин (АИ-92-К5),,,,,,,
A692LUV005A,"54,9771643","39,0472538",НБ Луховицкая,бензин (АИ-92-К5),,,,,,,
A692LVI025A,"52,4443226","37,5780414",НБ Ливенская,бензин (АИ-92-К5),,,,,,,
A692MEO005A,"64,9089948","76,8042868",БП Мегион-150,бензин (АИ-92-К5),,,,,,,
A692MID005A,"44,211675","43,1238527",БП Минеральные воды,бензин (АИ-92-К5),,,,,,,
A692MIE005A,"48,9189592","40,3752258",НБ Миллеровская,бензин (АИ-92-К5),,,,,,,
A692MOB005A,"55,8439994","38,4295043",БП Московская область Северо-Восток,бензин (АИ-92-К5),,,,,,,
A692MOL005A,"54,6940627","36,0217",БП Московская область Юго-Запад,бензин (АИ-92-К5),,,,,,,
A692MTI005A,"55,9280874","37,7612401",НБ г. Мытищи,бензин (АИ-92-К5),,,,,,,
A692MUE010A,"55,0384269","58,5542369",НБ Мурсалимкинская,бензин (АИ-92-К5),,,,,,,
A692MUU005A,"69,0037605","33,1346371",НБ Мурманская,бензин (АИ-92-К5),,,,,,,
A692NBK005A,"55,4544138","65,3653484",Нефтебаза в г. Курган,бензин (АИ-92-К5),,,,,,,
A692NBS005A,"56,0867827","63,6293744",Нефтебаза в г. Шадринск,бензин (АИ-92-К5),,,,,,,
A692NEH005A,"45,1115594","41,9702613",Нефтегазохранилище х. Вязники,бензин (АИ-92-К5),,,,,,,
A692NEM005A,"59,9792217","31,0257924",НБ рп. им. Морозова,бензин (АИ-92-К5),,,,,,,
A692NEP005A,"59,879886","31,776062",НБ Щербинская,бензин (АИ-92-К5),,,,,,,
A692NFE005A,"55,0101759","82,7837454",НБ Энергия топлива,бензин (АИ-92-К5),,,,,,,
A692NFS005A,"52,0215212","113,2911351",НБ Сибавиа ТЭК,бензин (АИ-92-К5),,,,,,,
A692NFT005A,"47,2470135","39,5870028",НБ Ростовская,бензин (АИ-92-К5),,,,,,,
A692NFV005A,"57,5693298","34,7332051",НБ Нефтехимснаб,бензин (АИ-92-К5),,,,,,,
A692NFY010A,"56,1117511","54,2584019",НБ Нефтекамская,бензин (АИ-92-К5),,,,,,,
A692NGR005A,"56,0490935","37,9933818",НС Нагорная,бензин (АИ-92-К5),,,,,,,
A692NIC005A,"54,8809038","99,0546633",Нижнеудинский цех,бензин (АИ-92-К5),,,,,,,
A692NRF005A,"55,3799933","36,7582429",НБ г. Наро-Фоминск,бензин (АИ-92-К5),,,,,,,
A692NRT025A,"57,0945506","65,6694121",НБ Никифор,бензин (АИ-92-К5),,,,,,,
A692NTA025A,"45,1270263","41,9770258",НБ Нафта,бензин (АИ-92-К5),,,,,,,
A692NTE005A,"55,4146782","37,4959024",НБ г. Климовск,бензин (АИ-92-К5),,,,,,,
A692NTO005A,"56,2847183","62,5997597",НБ Нефтепром,бензин (АИ-92-К5),,,,,,,
A692NVM005A,"54,0005277","38,2416373",НБ Новомосковская,бензин (АИ-92-К5),,,,,,,
A692NYU005A,"66,0184673","77,1095707",БП Новый Уренгой-25,бензин (АИ-92-К5),,,,,,,
A692OKA005A,"54,9130995","37,4643813",НБ ОКА-ЦЕНТР Нефтепродукт,бензин (АИ-92-К5),,,,,,,
A692OLN005A,"68,1404916","33,2705709",НБ Оленегорская,бензин (АИ-92-К5),,,,,,,
A692ONZ005A,"63,9190525","38,0837768",Онежский цех,бензин (АИ-92-К5),,,,,,,
A692ORB005A,"53,3235489","34,658168",БП Орел-Брянск,бензин (АИ-92-К5),,,,,,,
A692ORG005A,"53,0230936","36,1167742",НБ Орел,бензин (АИ-92-К5),,,,,,,
A692ORP005A,"48,0275931","39,8165323",НБ Орион,бензин (АИ-92-К5),,,,,,,
A692ORR010A,"51,7822431","55,0722813",НБ Оренбургская,бензин (АИ-92-К5),,,,,,,
A692ORY005A,"52,9636025","36,112595",НБ Орловская,бензин (АИ-92-К5),,,,,,,
A692OTA005A,"55,595062","51,907579",ТАИФ-НК,бензин (АИ-92-К5),,,,,,,
A692PDL005A,"55,4652448","37,5691021",НБ г. Подольск,бензин (АИ-92-К5),,,,,,,
A692PIP005A,"55,5665677","52,468755",НБ Приоритет,бензин (АИ-92-К5),,,,,,,
A692PMI025A,"53,2423105","50,2071721",НБ ПРОМИНВЕСТ,бензин (АИ-92-К5),,,,,,,
A692PNN005A,"53,2048888","45,0737199",НБ Пензенская,бензин (АИ-92-К5),,,,,,,
A692PSC005A,"56,3654136","92,0545155",НБ Песчанка,бензин (АИ-92-К5),,,,,,,
A692PSE005A,"51,9963697","81,8244813",НБ Поспелихинская,бензин (АИ-92-К5),,,,,,,
A692PSN005A,"57,8063841","28,427458",НБ Псковнефть-Терминал,бензин (АИ-92-К5),,,,,,,
A692PTD005A,"61,8223231","34,218165",НБ Петрозаводская,бензин (АИ-92-К5),,,,,,,
A692PTK005A,"45,2385852","38,147987",НБ Протокская,бензин (АИ-92-К5),,,,,,,
A692PUN005A,"57,5543","39,8111707",Пункт автоналива ЯНОС,бензин (АИ-92-К5),,,,,,,
A692PVL005A,"53,5024698","83,841149",НБ Повалихинская,бензин (АИ-92-К5),,,,,,,
A692RAA010A,"54,0656752","54,9325597",НБ Раевская,бензин (АИ-92-К5),,,,,,,
A692RCC005A,"59,9980746","30,4448337",НБ Ручьи,бензин (АИ-92-К5),,,,,,,
A692REN025A,"55,8539882","43,9010014",НБ РЕНЕКО-С,бензин (АИ-92-К5),,,,,,,
A692RNN005A,"43,3175388","45,050977",НБ г. Сунжа (Респ. Ингушетия),бензин (АИ-92-К5),,,,,,,
A692RNV005A,"56,8045806","35,9817242",НБ г. Тверь,бензин (АИ-92-К5),,,,,,,
A692ROD005A,"47,0978166","39,426326",БП Ростов-на-Дону,бензин (АИ-92-К5),,,,,,,
A692ROR005A,"54,9256124","37,4359379",НБ Серпуховская,бензин (АИ-92-К5),,,,,,,
A692RPS005A,"45,0022","41,1328",РП Сибнефтеиндустрия,бензин (АИ-92-К5),,,,,,,
A692RSN005A,"45,8548161","40,1257418",БП Краснодар,бензин (АИ-92-К5),,,,,,,
A692RTH005A,"52,2404099","43,7752125",НБ Ртищевская,бензин (АИ-92-К5),,,,,,,
A692RUA005A,"54,0715414","44,9264013",НБ Рузаевская,бензин (АИ-92-К5),,,,,,,
A692RYR005A,"53,7086741","40,1067401",НБ Ряжская,бензин (АИ-92-К5),,,,,,,
A692RYY005A,"54,5795687","39,7210472",Рязанская НПК (СННА),бензин (АИ-92-К5),,,,,,,
A692SCI005A,"43,4342526","39,9340751",НБ Адлерская,бензин (АИ-92-К5),,,,,,,
A692SDB025A,"54,2331909","45,1890341",НБ СОЛИД-БУНКЕР,бензин (АИ-92-К5),,,,,,,
A692SDS025A,"54,813487","31,9868504",НБ Солид-Смоленск,бензин (АИ-92-К5),,,,,,,
A692SDV005A,"64,5811742","39,8688371",НБ Северодвинская,бензин (АИ-92-К5),,,,,,,
A692SEF005A,"46,3266896","39,3809007",НБ Уманская,бензин (АИ-92-К5),,,,,,,
A692SGH025A,"62,129277","65,3745138",НБ САГАС,бензин (АИ-92-К5),,,,,,,
A692SIM010A,"51,8126167","59,7713624",НБ Шильдинская,бензин (АИ-92-К5),,,,,,,
A692SIP010A,"52,7133586","58,6681358",НБ Сибайская,бензин (АИ-92-К5),,,,,,,
